 TITLE = "2D Burgers Equation"
 VARIABLES = "X" "Z" "u" "w"
  ZONE F=POINT, I=         100 , J=           50
   29.654653670707976       -20.000000000000000       -5.2058693768526316E-015   0.0000000000000000     
   30.000000000000000       -20.000000000000000       -4.3637281235220588E-015   0.0000000000000000     
   30.000000000000000       -20.000000000000000       -4.3637042634942613E-015   0.0000000000000000     
   30.345346329292024       -20.000000000000000       -3.4847941761202314E-015   0.0000000000000000     
   31.000000000000000       -20.000000000000000       -4.9759021263205988E-015   0.0000000000000000     
   31.654653670707976       -20.000000000000000       -8.0020950230449294E-015   0.0000000000000000     
   32.000000000000000       -20.000000000000000       -9.9062261623094265E-015   0.0000000000000000     
   32.000000000000000       -20.000000000000000       -9.9131210953347762E-015   0.0000000000000000     
   32.345346329292020       -20.000000000000000       -9.9893180292889444E-015   0.0000000000000000     
   33.000000000000000       -20.000000000000000       -1.2733442613479716E-014   0.0000000000000000     
   33.654653670707980       -20.000000000000000       -1.9947402658745806E-014   0.0000000000000000     
   34.000000000000000       -20.000000000000000       -2.6768913014016297E-014   0.0000000000000000     
   34.000000000000000       -20.000000000000000       -2.6768238075037794E-014   0.0000000000000000     
   34.345346329292020       -20.000000000000000       -3.3599725249343997E-014   0.0000000000000000     
   35.000000000000000       -20.000000000000000       -4.1893501526971914E-014   0.0000000000000000     
   35.654653670707980       -20.000000000000000       -4.3546743369345699E-014   0.0000000000000000     
   36.000000000000000       -20.000000000000000       -4.1570184582432482E-014   0.0000000000000000     
   36.000000000000000       -20.000000000000000       -4.1538624921419900E-014   0.0000000000000000     
   36.345346329292020       -20.000000000000000       -4.1144526043123632E-014   0.0000000000000000     
   37.000000000000000       -20.000000000000000       -4.0807529828274897E-014   0.0000000000000000     
   37.654653670707980       -20.000000000000000       -4.0588291542260202E-014   0.0000000000000000     
   38.000000000000000       -20.000000000000000       -4.0403938410476263E-014   0.0000000000000000     
   38.000000000000000       -20.000000000000000       -4.0396796378487699E-014   0.0000000000000000     
   38.345346329292020       -20.000000000000000       -4.2532686742303533E-014   0.0000000000000000     
   39.000000000000000       -20.000000000000000       -3.9721225597830538E-014   0.0000000000000000     
   39.654653670707980       -20.000000000000000       -2.7757854856084152E-014   0.0000000000000000     
   40.000000000000000       -20.000000000000000       -1.7605468645816223E-014   0.0000000000000000     
   0.0000000000000000       -19.784158544192486        3.0355023980270345E-014   0.0000000000000000     
  0.34534632929202291       -19.784158544192486        1.7240133689482662E-014   0.0000000000000000     
   1.0000000000000000       -19.784158544192486        3.3186072634638557E-015   0.0000000000000000     
   1.6546536707079771       -19.784158544192486        4.0213560650867529E-015   0.0000000000000000     
   2.0000000000000000       -19.784158544192486        1.0542298700453285E-014   0.0000000000000000     
   2.0000000000000000       -19.784158544192486        1.0541237354944600E-014   0.0000000000000000     
   2.3453463292920231       -19.784158544192486        1.7070943095673215E-014   0.0000000000000000     
   3.0000000000000000       -19.784158544192486        2.3161656016058987E-014   0.0000000000000000     
   3.6546536707079769       -19.784158544192486        2.2695762582006275E-014   0.0000000000000000     
   4.0000000000000000       -19.784158544192486        2.0711000896781700E-014   0.0000000000000000     
   4.0000000000000000       -19.784158544192486        2.0711347396231960E-014   0.0000000000000000     
   4.3453463292920231       -19.784158544192486        1.8725168516628265E-014   0.0000000000000000     
   5.0000000000000000       -19.784158544192486        1.6655154203436953E-014   0.0000000000000000     
   5.6546536707079769       -19.784158544192486        1.1997762358999578E-014   0.0000000000000000     
